header,original,remake
O,The One Million Pound Note (1916),The One Million Pound Note (1954)  A Million to Juan (1994)
O,One Missed Call (2004),One Missed Call (2007)
O,One Sunday Afternoon (1933),The Strawberry Blonde (1941)
O,Open Your Eyes  (1997),Vanilla Sky (2001)
O,Oscar (1967),Oscar (1991)
O,La Otra (1945),Dead Ringer (1964)Killer in the Mirror (1986)
O,The Out-of-Towners (1970),The Out-of-Towners (1999)
O,Out of the Past (1947),Against All Odds (1984)
O,Overboard (1987),Overboard (2018)
P,Bazar e Husan (1988),Pati Patni Aur Tawaif (1990)
P,The Paleface (1948),The Shakiest Gun in the West (1968)
P,Papillon (1973),Papillon (2018)
P,Pardon Mon Affaire (1976),The Woman in Red (1984)
P,The Parent Trap (1961),The Parent Trap (1998)
P,Pathfinder (1987),Pathfinder (2006)
P,Pépé le Moko (1937),Algiers (1938)
P,Le Père Noël est une ordure (1982),Mixed Nuts (1994)
P,Pete's Dragon (1977),Pete's Dragon (2016)
P,Pet Sematary (1989),Pet Sematary (2019)
P,The Phantom Carriage (1921),The Phantom Carriage (1958)
P,The Phantom of the Opera (1925),Song at Midnight (1931)Phantom of the Opera (1943)The Phantom of the Opera (1962)The Phantom of the Opera (1989)Il fantasma dell'opera (1998)
P,The Philadelphia Story (1940),High Society (1956)
P,Pinocchio (1940),Pinocchio (2022)
P,Piranha (1978),Piranha (1995)Piranha 3D (2010)Piranha 3DD (2012)
P,Planet of the Apes (1968),Planet of the Apes (2001)
P,The Plank (1967),The Plank (1979)
P,Point Blank (1967),The Outfit (1973)Payback (1999)
P,Point Break (1991),Point Break (2015)
P,Poltergeist (1982),Poltergeist (2015)
P,Pokémon: The First Movie (1998),Pokémon: Mewtwo Strikes Back—Evolution (2019)
P,Pokiri (2006),Pokkiri (2007)Wanted (2009)Porki (2010)
P,The Poseidon Adventure (1972),The Poseidon Adventure (2005)Poseidon (2006)
P,Prancer (1989),Prancer: A Christmas Tale (2022)
P,A Precocious Girl (1934),Between Us Girls (1942)
P,Premier rendez-vous (1941),Ihr erstes Rendezvous [de] (1955)
P,Pretty Poison (1968),Pretty Poison (1996)
P,The Prisoner of Zenda (1937),The Prisoner of Zenda (1952)
P,The Private War of Major Benson (1955),Major Payne (1995)
P,Profumo di donna (1974),Scent of a Woman (1992)
P,Prom Night (1980),Prom Night (2008)
P,Psycho (1960),Psycho (1998)
P,Pulse (2001),Pulse (2006)
R,Raja Hindustani (1996),Raja Pakistani (1997)
R,Ransom! (1956),Ransom (1996)
R,Rashomon (1950),The Outrage (1964)
R,Rear Window (1954),Rear Window (1998)
R,REC (2007),Quarantine (2008)
R,Red Dawn (1984),Red Dawn (2012)
R,Red Dust (1932),Mogambo (1953)
R,Rendezvous (1935),Pacific Rendezvous (1942)
R,Ringu (1998),The Ring (2002)
R,RoboCop (1987),RoboCop (2014)
R,The Rocky Horror Picture Show (1975),The Rocky Horror Picture Show: Let's Do the Time Warp Again (2016)
R,Rollerball (1975),Rollerball (2002)
R,Roman Holiday (1953),Roman Holiday (1987)
R,The Roman Spring of Mrs. Stone (1961),The Roman Spring of Mrs. Stone (2003)
R,Rome Express (1932),Sleeping Car to Trieste (1948)
R,The Room (2003),The Room remake (2023)
R,Ruggles of Red Gap (1935),Fancy Pants (1950)
R,Run (2002),Run (2004)
R,Runaway Daughters (1956),Runaway Daughters (1994)
S,Sabrina (1954),Sabrina (1995)
S,Sahara (1943),Last of the Comanches (1953)Sahara (1995)
S,Satan's School for Girls (1973),Satan's School for Girls (2000)
S,Scandal Makers (2008),Scandal Maker (2016)
S,Scarface (1932),Scarface (1983)
S,School for Scoundrels (1960),School for Scoundrels (2006)
S,Scooby-Doo (2002),Scoob! (2020)
S,The Secret Life of Walter Mitty (1947),The Secret Life of Walter Mitty (2013)
S,The Secret in Their Eyes (El secreto de sus ojos) (2009),Secret in Their Eyes (2015)
S,Sentimental Journey (1946),The Gift of Love (1958)Sentimental Journey (1984)
S,Seven Chances (1925),The Bachelor (1999)
S,Seven Samurai (1954),The Magnificent Seven (1960)  The Magnificent Seven (2016)
S,Shadow of a Doubt (1943),Step Down to Terror (1958)  Shadow of a Doubt (1991)
S,The Shaggy Dog (1959),The Shaggy Dog (1994)  The Shaggy Dog (2006)
S,Shall We Dance? (1996),Shall We Dance? (2004)
S,Shame (1988),Shame (1992)
S,Shanghai Express (1932),Night Plane from Chungking (1943)Peking Express (1951)
S,Shiva (1989),Shiva (1990)Shiva (2006)
S,Sholay (1975),Aag (2007)
S,The Shop Around the Corner (1940),In the Good Old Summertime (1949)
S,Sideways (2004),Saidoweizu (2009)
S,Sigaw (2004),The Echo (2008)
S,Sisters (1973),Sisters (2006)
S,Siworae (2000),The Lake House (2006)
S,South Pacific (1958),South Pacific (2001)
S,Spring Parade (1934),Spring Parade (1940)
S,Spring in a Small Town (1948),Springtime in a Small Town (2002)
S,The Squaw Man (1914),The Squaw Man (1918)The Squaw Man (1931)
S,Stagecoach (1939),Stagecoach (1966)Stagecoach (1986)
S,A Star Is Born (1937),A Star Is Born (1954)A Star Is Born (1976)A Star Is Born (2018)
S,State Fair (1933),State Fair (1945)State Fair (1962)
S,The Stepfather (1987),The Stepfather (2009)
S,Stepmom (1998),We Are Family (2010)
S,A Story of Floating Weeds (1934),Floating Weeds (1959)
S,Strangers on a Train (1951),Once You Kiss a Stranger (1969)Once You Meet a Stranger (1996)
S,Straw Dogs (1971),Straw Dogs (2011)
S,The Sun Also Rises (1957),The Sun Also Rises (1984)
S,Suspect X aka Yôgisha X no kenshin (2008),Perfect Number aka Yong-eui-ja X (2012)
S,Suspiria (1977),Suspiria (2018)
S,Swamp Water (1941),Lure of the Wilderness (1952)
S,The Swan (1925),The Swan (1956)
S,Sweet November (1968),Sweet November (2001)
S,Swept Away (1974),Swept Away (2002)
T,Taking of Pelham One Two Three (1974),The Taking of Pelham One Two Three (1998)  The Taking of Pelham 123 (2009)
T,The Tall Blond Man with One Black Shoe (1972),The Man with One Red Shoe (1985)
T,Tarzan the Ape Man (1932),"Tarzan, the Ape Man (1959)"
T,Taxi (1998),Taxi (2004)
