id,title,keyword
15057532,The Fairly OddParents: Fairly Odder,remake
0069792,Black Caesar,remake
0120596,The Bachelor,remake
1134795,Akira,remake
0122541,An Ideal Husband ),remake
0089543,The Man with One Red Shoe,remake
1646876,16 Wishes,remake
0314786,The In-Laws ),remake
0464913,"OSS 117: Cairo, Nest of Spies",remake
1327035,Dev.D,remake
0116095,Diabolique,remake
0054653,Back Street,remake
0120683,Gloria,remake
0041253,Colorado Territory,remake
0814022,Bangkok Dangerous,remake
0115144,Cosby,remake
0070814,Tom Sawyer,remake
0271259,Welcome to Collinwood,remake
0030241,Holiday,remake
0095125,Faceless,remake
0071063,Tattletales,remake
0058453,Paris When It Sizzles,remake
0098625,We're No Angels,remake
7397098,Initiation ),remake
0119509,Leave It to Beaver,remake
3087752,Rosemary's Baby,remake
11419114,Resident Evil 3,remake
0189192,Just Visiting,remake
0070337,Lost Horizon,remake
0088379,The Warrior and the Sorceress,remake
0247303,The Shaft,remake
15847828,Diary of a Wimpy Kid: Rodrick Rules,remake
0119109,Fathers' Day,remake
0029541,Sh! The Octopus,remake
5259966,No manches Frida,remake
0106317,Attack of the 50 Ft. Woman,remake
5311790,The A Word,remake
0109731,Torment,remake
9256744,The Last Train to New York,remake
0110146,Intersection,remake
1224378,Forbidden Empire,remake
5493706,Death Race 2050,remake
0049055,Carousel,remake
0084390,The Ballad of Narayama,remake
0028597,The Awful Truth,remake
0092003,Stagecoach,remake
0058262,The Killers,remake
12354406,Mafia: Definitive Edition,remake
0040876,The Three Musketeers,remake
0117372,The Preacher's Wife,remake
0095756,Not of This Earth,remake
3487410,The Whispers,remake
0078269,The Silent Partner,remake
10701458,Castle Freak,remake
1016075,Fame,remake
0069765,Bang the Drum Slowly,remake
0172031,The New Addams Family,remake
0461936,Don ),remake
0116502,Head Above Water,remake
0091604,Naked Vengeance,remake
0053085,The Mummy,remake
0080948,The Jazz Singer,remake
0324864,Kingdom Hospital,remake
0100224,Narrow Margin,remake
0857265,Sleuth,remake
5834256,The Witness for the Prosecution,remake
0434215,Flicka,remake
0101130,Land of the Lost,remake
0314676,The Singing Detective,remake
0944954,The IT Crowd,remake
6647016,Sommaren med släkten,remake
0382601,Chantal,remake
0087980,The Razor's Edge,remake
10656188,The Queen of Black Magic,remake
1034305,Don't Look Up,remake
0857190,The Sweeney,remake
5029608,Frantz,remake
0051435,The Brothers Karamazov,remake
0082894,Pennies from Heaven,remake
0302739,The Lost World,remake
0087003,Broadway Danny Rose,remake
21279122,Remember,remake
3402138,The Naked Gun,remake
0049646,The Quatermass Xperiment,remake
15490038,Kotaro Lives Alone,remake
0094933,D.O.A.,remake
0231775,Down to Earth,remake
0324937,Doctor Zhivago,remake
0064645,Mayerling,remake
13664452,Yu Yu Hakusho,remake
1451423,The Boy Who Cried Werewolf,remake
0274659,She Creature,remake
0149447,Donkey Kong Country,remake
2911668,Beyond the Reach,remake
0076191,The Incredible Melting Man,remake
0088476,Alfred Hitchcock Presents,remake
1313113,The Firm,remake
0192788,Where the Red Fern Grows,remake
0287535,The Lost Battalion,remake
0053540,Surfside 6,remake
10888594,Radhe,remake
0050280,The Curse of Frankenstein,remake
0166322,Rear Window,remake
0099409,Desperate Hours,remake
0374271,In Your Name,remake
0068909,Man of La Mancha,remake
0088851,The Bride,remake
0098471,Three Fugitives,remake
2328749,Steel Magnolias,remake
0110200,Fist of Legend,remake
0059563,"Paradise, Hawaiian Style",remake
2215399,Red Widow,remake
0111244,Sorceress,remake
0324197,Time of the Wolf,remake
0451493,Casados con hijos,remake
0061075,Ten Little Indians,remake
13510660,Dhamaka,remake
0105242,The Resurrected,remake
0029855,Algiers,remake
0061814,The Incident,remake
0212653,Corazón salvaje,remake
0263265,Shortcut to Happiness,remake
16605106,Bullet Train Down,remake
0770772,I Think I Love My Wife,remake
0120756,Moby Dick,remake
0095468,A Short Film About Killing,remake
2098627,Blue Residents,remake
0050972,Silk Stockings,remake
14399128,Hello Ghost,remake
0047094,Hobson's Choice,remake
0304262,The Happiness of the Katakuris,remake
0143081,Zoom,remake
0934959,Srigala,remake
0031225,Destry Rides Again,remake
7431790,Party of Five,remake
0072263,Ten Little Indians,remake
1606789,Loft ),remake
0143213,Devil in the Flesh,remake
0100361,The Phantom of the Opera,remake
5078204,Two Is a Family,remake
0913968,The Warlords,remake
6722726,Come As You Are,remake
8856470,Pokémon: Mewtwo Strikes Back - Evolution,remake
0024069,Gold Diggers of 1933,remake
0114137,Piranha,remake
8130904,The Body ),remake
0113296,Here Come the Munsters,remake
0067753,The Long Swift Sword of Siegfried,remake
0174336,Whipped,remake
23218142,Tokyo Revengers 2: Bloody Halloween - Destiny,remake
2183152,The Lady Vanishes,remake
1241316,Dare,remake
0391683,Rubí,remake
0080196,Berlin Alexanderplatz,remake
0099363,Dark Shadows,remake
12144960,Hard,remake
2844798,White God,remake
0078679,The Ropers,remake
11645760,Digimon Adventure: 2020,remake
0102631,Paradise ),remake
0050738,My Man Godfrey,remake
2028582,The Wild Bunch ),remake
0806027,Blood: The Last Vampire,remake
0058335,Marriage Italian Style,remake
0219224,On the Beach,remake
0082924,Super Fuzz,remake
6337766,Muppet Babies,remake
0061170,Walk Don't Run,remake
0011237,The Golem,remake
0089523,Lust in the Dust,remake
1290135,Children of the Corn,remake
0238948,Double Take,remake
0086582,The Wicked Lady,remake
2515462,Rake,remake
0097015,Miss Marple: A Caribbean Mystery,remake
0097116,Cousins,remake
22187310,"Sumo Do, Sumo Don't",remake
5170810,Inside ),remake
0102729,Pure Luck,remake
0270707,The Truth About Charlie,remake
